Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
NA.GDP.CNST.KR,Economic Indicators,"GDP on Construction Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.CNST.SNA08.CR,Economic Indicators,"GDP on Construction Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.CNST.SNA08.KR,Economic Indicators,"GDP on Construction Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.EDUS.SNA08.CR,Economic Indicators,"GDP on Education Services Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.EDUS.SNA08.KR,Economic Indicators,"GDP on Education Services Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.ELEC.GAS.SNA08.CR,Economic Indicators,"GDP on Electricity & Gas Supply Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.ELEC.GAS.SNA08.KR,Economic Indicators,"GDP on Electricity & Gas Supply Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.EXC.OG.CR,Economic Indicators,"Total GDP excluding Oil and Gas (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.EXC.OG.KR,Economic Indicators,"Total GDP excluding Oil and Gas (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.FINS.CR,Economic Indicators,"GDP on Financial Service Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.FINS.KR,Economic Indicators,"GDP on Financial Service Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.FINS.SNA08.CR,Economic Indicators,"GDP on Financial & Insurance Activity Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.FINS.SNA08.KR,Economic Indicators,"GDP on Financial & Insurance Activity Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.HLTH.SOCW.SNA08.CR,Economic Indicators,"GDP on Human Health & Social Work Activity Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.HLTH.SOCW.SNA08.KR,Economic Indicators,"GDP on Human Health & Social Work Activity Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.INC.OG.CR,Economic Indicators,"Total GDP including Oil and Gas (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.INC.OG.KR,Economic Indicators,"Total GDP including Oil and Gas (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.INC.OG.SNA08.CR,Economic Indicators,"Total GDP including Oil and Gas (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.INC.OG.SNA08.KR,Economic Indicators,"Total GDP including Oil and Gas (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.INF.COMM.SNA08.CR,Economic Indicators,"GDP on Information & Communication Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.INF.COMM.SNA08.KR,Economic Indicators,"GDP on Information & Communication Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.MINQ.CR,Economic Indicators,"GDP on Mining and Quarrying Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.MINQ.KR,Economic Indicators,"GDP on Mining and Quarrying Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.MINQ.SNA08.CR,Economic Indicators,"GDP on Mining & Quarrying Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.MINQ.SNA08.KR,Economic Indicators,"GDP on Mining & Quarrying Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.MNF.CR,Economic Indicators,"GDP on Manufacturing Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.MNF.KR,Economic Indicators,"GDP on Manufacturing Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.MNF.SNA08.CR,Economic Indicators,"GDP on Manufacturing Industry Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.MNF.SNA08.KR,Economic Indicators,"GDP on Manufacturing Industry Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.PADM.DEF.SNA08.CR,Economic Indicators,"GDP on Public Administration, Defense & Compulsory Social Security Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.PADM.DEF.SNA08.KR,Economic Indicators,"GDP on Public Administration, Defense & Compulsory Social Security Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.REST.SNA08.CR,Economic Indicators,"GDP on Real Estate Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.REST.SNA08.KR,Economic Indicators,"GDP on Real Estate Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.SRV.OTHR.CR,Economic Indicators,"GDP on Other Service Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.SRV.OTHR.KR,Economic Indicators,"GDP on Other Service Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.SRV.OTHR.SNA08.CR,Economic Indicators,"GDP on Other Services Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.SRV.OTHR.SNA08.KR,Economic Indicators,"GDP on Other Services Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.TRAN.COMM.CR,Economic Indicators,"GDP on Transportation and Telecommunication Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.TRAN.COMM.KR,Economic Indicators,"GDP on Transportation and Telecommunication Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.TRAN.STOR.SNA08.CR,Economic Indicators,"GDP on Transportation & Storage Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.TRAN.STOR.SNA08.KR,Economic Indicators,"GDP on Transportation & Storage Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.TRD.HTL.CR,Economic Indicators,"GDP on Trade, Hotel and Restaurant Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.TRD.HTL.KR,Economic Indicators,"GDP on Trade, Hotel and Restaurant Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.TRD.SNA08.CR,Economic Indicators,"GDP on Wholesales & Retail Trade, Repair of Motor Vehicles & Motorcycles Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.TRD.SNA08.KR,Economic Indicators,"GDP on Wholesales & Retail Trade, Repair of Motor Vehicles & Motorcycles Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.UTL.CR,Economic Indicators,"GDP on Utilities Sector (in IDR Million), Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data only dates back to 2000.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.UTL.KR,Economic Indicators,"GDP on Utilities Sector (in IDR Million), Constant Price",,,IDR Million,Annual,2000,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2000 = 100. The classification is based on SNA 1993. The data for province dates back to 1976.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district). For example: The split of Kab. Aceh Barat in 2002 into Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya. Therefore, data for Kab. Aceh Barat, Kab. Aceh Jaya and Kab. Nagan Raya prior to 2002 is calculated by summing up the sub-district data under those districts.",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.WTR.WST.SNA08.CR,Economic Indicators,"GDP on Water Supply, Sewerage, Waste & Recycling Management Sector (in IDR Million), SNA 2008, Current Price",,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,"Value is in Nominal (Current) Price. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NA.GDP.WTR.WST.SNA08.KR,Economic Indicators,"GDP on Water Supply, Sewerage, Waste & Recycling Management Sector (in IDR Million), SNA 2008, Constant Price",,,IDR Million,Annual,2010,Official data from Statistics Indonesia,,,,"Value is in Constant Price 2010 = 100. The classification is based on SNA 2008. Data only dates back to 2010.
Data for several districts are back-casted prior to the year of the proliferation. Back-casting is calculated by parent district/province, using the available data on district (for split province) and sub-district (for split district).",BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
NE.GDI.CON.GOVT.CR,Economic Indicators,GDP expenditure on general government consumption (in IDR Million),,,IDR Million,Annual,,Official data from Statistics Indonesia,,,,Value is in Nominal (Current) Price. The classification is based on SNA 1993. Data dates back to 1993 and available only at province level.,BADAN PUSAT STATISTIK - Statistics Indonesia,,,,,,
